sample,time_s,zone_index,zone_tolerance_mm,reference_x_mm,reference_y_mm,initial_x_mm,initial_y_mm,no_alignment_x_mm,no_alignment_y_mm,v11_x_mm,v11_y_mm,initial_contour_error_mm,no_alignment_contour_error_mm,v11_contour_error_mm
71,2.6625,-1,nan,-5.041142578124997,8.037015076567005,-9.762951731597935,8.14714938570273,-7.1781106918240365,8.988936767524466,-8.096204991368834,9.951873341284491,-3.0618390222304877,-0.7126801753123415,-0.6055571763798908
72,2.6999999999999997,-1,nan,-4.484999999999999,7.486724094584727,-9.224220909603407,8.375314921126035,-6.81542335018099,9.366112927681344,-7.804151444569463,10.35727413170146,-2.883756262014748,-0.4407717797999071,-0.49648182813813735
73,2.7375,-1,nan,-3.927451171874999,6.829146070237731,-8.681774762188372,8.593903037703445,-6.4715718735838585,9.726898801117763,-7.522649758814166,10.73914099890524,-2.6460208778084437,-0.20833778325898655,-0.4087375139042351
74,2.775,-1,nan,-3.368671875000004,6.069521263909735,-8.135859091658427,8.790154668951379,-6.14623866951255,10.054289846731395,-7.249694817948855,11.080261415449332,-2.3715990909763627,-0.016177834328019003,-0.3396357970487287
75,2.8125,3,0.28,-2.808837890625,5.216016983769834,-7.586735693473454,8.950922881222324,-5.839122073260877,10.330861532892559,-6.98329666848476,11.36299869566018,-2.0736915826713407,0.1395818896400849,-0.28404458830960877
76,2.85,3,0.28,-2.2481249999999946,4.279544408488874,-7.034679450220302,9.063116051449597,-5.549933627402123,10.539198530024587,-6.721478454239391,11.569723868933657,-1.758854210871243,0.2645741904339487,-0.2359634686195209
77,2.8874999999999997,3,0.28,-1.6867089843750023,3.2734762360998357,-6.479974323633462,9.114212684326942,-5.278394322682306,10.662381657586213,-6.462272647033846,11.683313428565222,-1.4294276632135512,0.3648409867958775,-0.18920973218150472
78,2.925,3,0.28,-1.124765625000002,2.2132741668550895,-5.922909574817721,9.092835883093441,-5.024226751563766,10.684643294576984,-6.203711465197811,11.687868108783627,-1.085059562875304,0.44641526102342866,-0.1375426211040791
79,2.9625,3,0.28,-0.5624707031250047,1.1160390682385475,-5.363790516716498,8.988959230589186,-4.786950842030395,10.592315619451302,-5.94383321832303,11.569707178967102,-0.7237252867275985,0.5156166904751545,-0.07447443046846391
80,3.0,3,0.28,0.0,2.326828918379971e-15,-4.802963113054211,8.79322748226257,-4.564927945392483,10.372642173980287,-5.680878673942428,11.315266516919463,-0.342687603883717,0.5792597003962907,0.005461676107405999
81,3.0375,3,0.28,0.5624707031250011,-1.1160390682385386,-4.240748818915673,8.497748303217977,-4.3553088467986925,10.012367894112753,-5.413201941779419,10.910914236613868,0.06154983908735456,0.6440565256202078,0.1066203433631987
